Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
2 Bedroom for Rent in Midtown Toronto's Leaside Neighourhood!,2875,"6 Airdrie Road, East York, ON, M4G 1L7",2024-03-11 00:08:02,Apartment,2,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,Not Available,No,Yes,Yard,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer",,"Kelvingrove Apartments offers luxury rentals in the heart of mid-town Toronto's Leaside neighbourhood. While the suites have been completely renovated to reflect contemporary design and modern finishes, Kelvingrove still maintains its historical charm and continues to preserve its distinct position in the Leaside community. You can expect modern kitchens and bathrooms with sleek finishes such as granite countertops, stainless steel appliances, dishwasher, in-suite laundry and beautiful wood flooring. Enjoy luxurious condo-styled features such as window coverings and central air conditioning. Some notable amenities of this property include garage, heated parking our beautiful gazebo and courtyard surrounded by award winning landscaping. Kelvingrove is conveniently located near the Leaside Village Shopping Centre and the popular restaurants, cafes and shops of Bayview Avenue. Only 20 minutes from downtown Toronto with easy access to the DVP, TTC bus stops and the Yonge and Eglinton subway station.Suite Features:",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-for-rent-in-midtown-torontos-leaside-neighourhood/1674565016
LARGE 3 BEDROOM BASEMENT APARTMENT - KEELE ST AND LAWRENCE AVE W,2800,"York, ON M6M 1G9",2024-03-07 22:26:23,Basement,3,1,,Not Included,1,1 Year,"March 7, 2024",Yes,"1,265",No,Yes,Yard,Outdoors only,"Laundry (In Unit), Fridge / Freezer",,LARGE 3 BEDROOM BASEMENT APARTMENT - KEELE ST AND LAWRENCE AVE W,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-3-bedroom-basement-apartment-keele-st-and-lawrence-ave-w/1687583582
"Renovated bachelor, Bathurst and Queen - ID 3152",1595,"798 Richmond Street West, Toronto, ON, M6J 3P3",2024-02-12 13:12:00,Apartment,Bachelor/Studio,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,Not Available,"March 11, 2024",Yes,236,No,Yes,Not Included,No,"Laundry (In Building), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building",,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-bachelor-bathurst-and-queen-id-3152/1685065395
2Bed2Bath+Balcony Brand-new Highrise Condo Downtown Eaton Centre,2900,"47 Mutual Street, Toronto, ON",2024-03-11 02:46:49,Condo,2,2,,Not Included,0,1 Year,"March 11, 2024",Limited,660,No,Yes,Balcony,Outdoors only,Laundry (In Unit),"Gym, Concierge, 24 Hour Security","ABSOLUTELY BRAND NEW /FIRST TENANT high rise condo. 30th floor! Gorgeous view 660 sq ft interior + 171 sq ft of balcony = 831 sq ft in total (advertised as 660 sq ft)!
This is a preconstruction condo that just completed on Feb 20, 2024. You will be the FIRST TENANT to move in the 2bed2bath+Balcany unit with Gorgeous View! Some parts of the building (e.g. gym) are still under construction. More detail on this brand new building: https://thegardendistrictcondos.com/",20 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2bed2bath-balcony-brand-new-highrise-condo-downtown-eaton-centre/1687877006
Condo style Bachelor Suite / Studio,1850,"Etobicoke, ON M8V 2E5",2024-03-12 03:28:43,Apartment,Bachelor/Studio,1,"Hydro_No,Heat_Yes,Water_Yes",Internet,0,1 Year,"May 1, 2024",Limited,225,No,Yes,Yard,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","24 Hour Security, Bicycle Parking, Storage Space","Fully renovated luxury apartments for rent: in-suite climate control (heat, air-conditioning, heat recovery ventilation), in-suite laundry ( washer and dryer), stainless steel dishwasher, fridge, range, microwave/exhaust. hardwood floors, security cameras in common areas/exterior. Parking and storage lockers available. MOVE IN MAY 1ST.",9 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/condo-style-bachelor-suite-studio/1687973353
Condo for Rent,,"E Liberty St, Toronto, M6K 3R5",2024-03-12 03:28:11,,,,,,,,,No,,Yes,,,,,,"MINIMUM 30 DAY RENTAL
Cozy, spacious and inviting, you’ll feel perfectly at home in this luxury 1 bedroom 1 bathroom condominium which offers a stunning panoramic view of the city as well as a free parking spot. Perfect for the solo traveler, couples, or those in town for business.
The master bedroom includes a queen-sized bed. The kitchen and dining area are fully equipped with everything you need and the island in the center is the perfect place to eat and relax after a long day sightseeing or working.
It has a TV that offers NETFLIX, a common area outdoor patio and BBQ grill on the ground level , and there is also a gym guests can use. High-speed wifi is included
The property also offers a free parking spot.
I have full sets of sheets and duvets for all beds as well as extra towels for everyone - so you don't have to worry about that!
The bathroom includes a large walk in shower. A washer & dryer are also available for guests to use.
Looking forward to hosting you!",1 visit,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/condo-for-rent/1687973332
One bedroom basement apartment for rent richmondhill,1850,"North York, ON M2N 0C1",2024-03-12 03:25:12,Basement,1,1,,Not Included,2,1 Year,"March 11, 2024",No,950,No,Yes,Not Included,No,"Laundry (In Building), Dishwasher, Fridge / Freezer",,"One bedroom basement apartment separate entrance for rent, very clean, hardwood floor, dush washer , lundry, heating cooling system, close to shopping centre, walmart , costco , close to high rank school bayview secondary, bus top , family oriented, utility 40%",10 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-basement-apartment-for-rent-richmondhill/1687973183
Salon Room For Rent in Beauty Supply Store,950,"Scarborough, ON M1K 2P3",2024-03-12 03:25:07,,,,,,,,,,,Yes,,,,,,Room available for rent on Main Floor of a Beauty Supply Store. Located at the intersection of Kennedy Rd and Eglinton Ave E Ideal for a hairstylist looking to build their business and clientele. Room has a sink. Other beauty services are also welcomed.,193 visits,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/salon-room-for-rent-in-beauty-supply-store/1672737413
Brand New Condo 2+1 with 2 Bathrooms in M2M Building,3200,"Olympic Gdn Dr, North York, ON M2M",2024-03-12 03:20:21,Condo,2 + Den,2,,Not Included,1,1 Year,"April 12, 2024",No,976,No,Yes,Not Included,No,,,UNIT: Brand new 2+1 condo with 2 bathrooms in the M2M building.,4 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-condo-2-1-with-2-bathrooms-in-m2m-building/1687972930
NEW PRICE!! 1bd fully RENOVATED suite $1625,1695,"5900 Yonge Street, Toronto, ON, M2M 3T8",2024-03-12 03:14:44,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"February 1, 2021",No,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Building), Dishwasher, Fridge / Freezer","Gym, Storage Space, Elevator in Building",,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/new-price-1bd-fully-renovated-suite-1625/1505831086
York University 2nd floor big bright queen bedroom,1100,"Delabo Drive, North York, ON",2024-03-12 03:14:15,,,,,,,,,No,,Yes,,,,,,"Male student preferred, one person only!
York University 2nd floor big bright bedroom with queen bed, shared washroom, clean and quiet, nice landlord and roommates, 3 minutes walk to classroom, available from now, 1100 per month. free utilities, free laundry, free internet.",,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/york-university-2nd-floor-big-bright-queen-bedroom/1687972627
Private bedroom Female Roommate only,1250,"Wood St, Toronto, M4Y 2P8",2024-03-12 03:11:52,,,,,,,,,,,Yes,,,,,,"Female flatmate needed - offering a furnished private bedroom in prime downtown location. Starting April 1st. Minimum 2 months then month on month.
No sharing or couples
Furniture includes bed, mattress, work desk, chair. Huge balcony with a view. Unit includes all basic appliances like microwave, dishwasher. Kitchen, balcony and bathroom shared.
Location: college and Yonge ; at the heart of downtown Toronto.
1 min walk from college station
10-minute walk from U of T campus. Several
restaurants nearby. 2-minute walk to College Park.
10 mins walking from Dundas Square.
2 mins walking from various stores like Shoppers Drug Mart, Canada Loblaws, Farmboy, Metro, UPS, CanadaPost, Dollorama, and LCBO.",5 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-bedroom-female-roommate-only/1687972496
1 BDRM - Yonge/College - Aura - $2600/mth,2600,"Yonge St, Toronto, ON M5B 0A5",2024-03-12 03:11:32,,,,,,,,,No,,Yes,,,,,,"Perfect unit, perfect location: This is an open concept one bedroom unit situated in the tallest residential tower in Canada- Aura at College Park. The unit has a walkout balcony with beautiful skyline views of downtown Toronto overlooking College Park walking trail and skating rink. The building is located in the heart of downtown Toronto with incredible access to all that the city has to offer. It's steps from world class shopping at Eaton Centre, U of T, Toronto Metropolitan University, Hospitals, many private colleges, restaurants, Farm Boy grocery store, food courts and urban format Ikea furniture store located right below on the street level of the building. All of this and within walking distance to TTC Subway stations. Enjoy the convenience of 24-hour concierge service in the lobby, newly updated flooring throughout the unit, laundry/dryer, dish washer. moveable modular kitchen island and complimentary gym membership to High Ground Health Club. Hydro, Water, Heat, and Internet included in rental price.",8 visits,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/1-bdrm-yonge-college-aura-2600-mth/1687972481
Condo For Lease [ 2 Bed + 1 Bath] Balcony,2580,"Widmer St, Toronto, ON M5V 0P7",2024-03-12 03:10:36,Condo,2,1,,Not Included,0,1 Year,"March 11, 2024",Limited,700,No,Yes,Not Included,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Storage Space, Elevator in Building","Brand new condo -( 2 Bed / 1 bath)
Location: 38 Widmer St, Toronro Dowtown
(Close to University of Toronto)
$2580/month
12-month lease",8 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/condo-for-lease-2-bed-1-bath-balcony/1687972422
Room for rent / Islington and Rexdale,650,"Hadrian Dr, Toronto, M9W 1V8",2024-03-12 03:07:14,,,,,,,,,,,Yes,,,,,,"* Must see! Private bright spacious one bedroom room basement for rent in a raised bungalow. Major intersection/ Islington and Rexdale.
Beautiful 1300 square feet 2 bedroom basement in a raised bungalow. One bedroom is occupied by an Indian IT Muslim couple In their mid 20’s. We are looking for two clean working female professionals or one couple. Preferably Muslims. Girls students also welcome. This 150 square feet spacious room with walk in storage and pax wardrobe. The unit is Semi furnished with full kitchen, dining, washroom and common space is shared.
* $1300 for couple
* Single person $1050 everything included
* Free Wifi
* For students two twin mattress and beds are available. $650 per person in sharing including all utilities and wifi
* Convenient and Amazing ing Location
* Walking distance to: Costco, Walmart, Fresh Value, Humber Trail, School, Bus Stop, Bank, restaurants etc.
* Imo (mosque)
* Close to Humber College
* Close to all major Highways (hwy 401,400,427,410,403)
* Separate entrance
* Laundry included.
* Parking available
* Separate entrance
* Bright, Clean, Modern with pot lights throughout
* Large Luxury 4 piece bathroom with shower spa
* Lots of natural light with privacy windows and only few steps to get in and out
Strictly No Pets, no smoking, No alcohol or drugs in or around the premises
Requirements: 2 pieces of ID, letter of employment, 2 recent paystubs, first and last month rent required.
* Must see! Private bright spacious one bedroom room basement for rent in a raised bungalow. Major intersection/ Islington and Rexdale.
Beautiful 1300 square feet 2 bedroom basement in a raised bungalow. One bedroom is occupied by an Indian IT Muslim couple In their mid 20’s. We are looking for two clean working female professionals or one couple. Preferably Muslims. Girls students also welcome. This 150 square feet spacious room with walk in storage and pax wardrobe. The unit is Semi furnished with full kitchen, dining, washroom and common space is shared.
* $1300 for couple
* Single person $1150 everything included
* Free Wifi
* For students two twin mattress and beds are available. $650 per person in sharing including all utilities and wifi
* Convenient and Amazing ing Location
* Walking distance to: Costco, Walmart, Fresh Value, Humber Trail, School, Bus Stop, Bank, restaurants etc.
* Imo (mosque)
* Close to Humber College
* Close to all major Highways (hwy 401,400,427,410,403)
* Separate entrance
* Laundry included.
* Parking available
* Separate entrance
* Bright, Clean, Modern with pot lights throughout
* Large Luxury 4 piece bathroom with shower spa
* Lots of natural light with privacy windows and only few steps to get in and out
Strictly No Pets, no smoking, No alcohol or drugs in or around the premises
Requirements: 2 pieces of ID, letter of employment, 2 recent paystubs, first and last month rent required.
*Looking for long term
For more info / private showing please message",27 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-islington-and-rexdale/1687972259
2 Bed 2 Bath for rent in prime location,2800,"McLevin Ave, Scarborough, ON M1B 5J5",2024-03-12 03:03:38,Condo,2,2,"Hydro_No,Heat_Yes,Water_Yes",Not Included,1,1 Year,"March 11, 2024",Yes,"1,050",No,Yes,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Spacious 2 bed and 2 full bath condo unit available for rent immediately. Unit is in 19th floor with abundant natural light. Freshly painted and new vinyl flooring all over. Spacious eat in kitchen with stove ,dishwasher ,large fridge and new in suite laundry. Patio space. Extra storage space for unit in Condominium basement. Garage parking for one car. Well maintained condo building with lot of amenities like swimming pool , tennis court , kids play area, building party room and condominium functional hall etc., Gated community with entrance security and lots of visitor parking. Schools at walking distance , JK to Grade 8 and catholic school and High school. Bus stop next condo building. Shopping plaza near by, minutes drive to 401. Please reach me out for further details.
Walk in distance :
- NoFrills, A&W, pharmacy ,Booster, Malvern mall
- Park
- Schools
- Bustop
Parking :
-1 Car parking in Garage , included in rent
Minutes Drive:
- 5 minutes highway 401
- 10 minutes STC mall
Mail Box
- In building",6 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-2-bath-for-rent-in-prime-location/1687972080
Parking spot for rent downtown Toronto little Italy area,150,"Henderson Ave, Toronto, ON M6J 2B6",2024-03-12 03:03:23,,,,,,,,,,,,,,,,,"Backyard Parking spot for rent
Month to month
Available from April 1",4 visits,https://www.kijiji.ca/v-storage-parking/city-of-toronto/parking-spot-for-rent-downtown-toronto-little-italy-area/1687972062
Room with private bathroom for rent DT Toronto Kensington market,1450,"34 Nassau St, Toronto, ON M5T 1M2",2024-03-12 03:01:12,,,,,,,,,,,Yes,,,,,,"Room is available from May 1
The first floor room for rent, its newly renovated，bright room come with private bathroom. It's wooden floor and high-speed internet. All utilities is included. Coin laundry on-site.
The rooms is nearby China town and Kensington Market， which is 5mins to coffee shop, supermarket and bar, restaurants. 10 minutes walk to U of T St. George campus.
Looking for one tenant: mature adult or student. No smoking, no pets.
Please message me if you interested. (please write a little bit about yourself in the text)Show less",7 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-with-private-bathroom-for-rent-dt-toronto-kensington-market/1687971942
